Katastralgemeindenummer;Katastralgemeinde_Name;Bundesland;GWA;NAPV Anlage 5 Gebiet;Faktor für Saldo;GW-Acker Layer;Feuchtgebiet;Trockengebiet
45027;Scharten;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45028;Schaumberg;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45029;Straß;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45030;Wackersbach;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45101;Asten;Oberösterreich;;;;;;
45102;Enns;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45103;Hargelsberg;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45104;Hiesendorf;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45105;Kristein;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45106;Kronstorf;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45107;Lorch;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45108;Moos;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45109;Penking;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45110;Raffelstetten;Oberösterreich;;;;;;
45111;Schieferegg;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45112;Sieding;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45113;Stallbach;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45114;Thann;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45115;Volkersdorf;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45201;Ebelsberg;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45202;Kleinmünchen;Oberösterreich;;;;;;
45203;Linz;Oberösterreich;;;;;;
45204;Lustenau;Oberösterreich;;;;;;
45205;Mönchgraben;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45206;Pichling;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45207;Posch;Oberösterreich;;;;;;
45208;St. Peter;Oberösterreich;;;;;;
45209;Ufer;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45210;Waldegg;Oberösterreich;;;;;;
45211;Wambach;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45212;Urfahr;Oberösterreich;;;;;;
45213;Pöstlingberg;Oberösterreich;;;;;;
45214;Katzbach;Oberösterreich;;;;;;
45301;Axberg;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45302;Dörnbach;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45303;Freiling;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45304;Holzheim;Oberösterreich;X;;0,6;Feuchtgebiet;X;
